Number,Digimon,Stage,Type_x,Attribute,Memory,Equip Slots,Lv 50 HP,Lv50 SP,Lv50 Atk,Lv50 Def,Lv50 Int,Lv50 Spd,Move,SP Cost,Type_y,Power,Inheritable,Description,Efficiency
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heavy Strike I,3,Physical,70,Yes,"Physical attack, 70 Neutral damage to one foe. 95% accuracy.",23.333333333333332
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heavy Strike II,6,Physical,90,Yes,"Physical attack, 90 Neutral damage to one foe. 95% accuracy.",15.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heavy Strike III,9,Physical,110,Yes,"Physical attack, 110 Neutral damage to one foe. 95% accuracy.",12.222222222222221
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Power Energy I,3,Magic,60,Yes,"Magic attack, 60 Neutral damage to one foe. 95% accuracy.",20.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Power Energy II,6,Magic,80,Yes,"Magic attack, 80 Neutral damage to one foe. 95% accuracy.",13.333333333333334
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Power Energy III,9,Magic,100,Yes,"Magic attack, 100 Neutral damage to one foe. 95% accuracy.",11.11111111111111
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mach Rush I,4,Physical,35,Yes,"Physical attack, 35 Neutral damage to all foes. 95% accuracy.",8.75
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mach Rush II,7,Physical,50,Yes,"Physical attack, 50 Neutral damage to all foes. 95% accuracy.",7.142857142857143
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mach Rush III,10,Physical,80,Yes,"Physical attack, 80 Neutral damage to all foes. 95% accuracy.",8.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Physical Drain,3,Physical,50,Yes,"Physical attack, 50 Neutral damage to one foe. Absorb 10% SP.",16.666666666666668
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Spirit Drain,3,Magic,40,Yes,"Magic attack, 40 Neutral damage to one foe. Absorb 10% SP.",13.333333333333334
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Character Reversal,10,Magic,30,Yes,"Magic attack, 30 Neutral damage to one foe. Inflicts Bug status effect.",3.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heal,4,Support,0,Yes,Restores a little HP for one party member.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,X-Heal,8,Support,0,Yes,Restores HP for one party member.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Final Heal,16,Support,0,Yes,Restores a lot of HP for one party member.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Aura,10,Support,0,Yes,Restores a little HP for all party members.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,X-Aura,25,Support,0,Yes,Restores HP for all party members.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Final Aura,40,Support,0,Yes,Restores a lot of HP for all party members.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Revive,30,Support,0,Yes,Revive one fallen party member with 50% HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Perfect Revival,60,Support,0,Yes,Revive all fallen party members with full HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Poison,4,Support,0,Yes,Recover Poison from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Panic,4,Support,0,Yes,Recover Panic from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Paralysis,4,Support,0,Yes,Recover Paralyze from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Sleep,4,Support,0,Yes,Recover Sleep from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Stun,4,Support,0,Yes,Recover Stun from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Dot,4,Support,0,Yes,Recover Dot from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Bug,4,Support,0,Yes,Recover Bug from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Restore,8,Support,0,Yes,Remove all status effects from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Dispel,8,Support,0,Yes,Remove basic debuffs from one party member and restore some HP.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Attack Charge,6,Support,0,Yes,Increases ATK of one member by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Attack Charge Field,20,Support,0,Yes,Increases ATK of all battle members by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Guard Charge,6,Support,0,Yes,Increases DEF of one member by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Guard Charge Field,20,Support,0,Yes,Increases DEF of all battle members by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mental Charge,6,Support,0,Yes,Increases INT of one member by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mental Charge Field,20,Support,0,Yes,Increases INT of all battle members by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Speed Charge,6,Support,0,Yes,Increases SPD of one member by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Speed Charge Field,20,Support,0,Yes,Increases SPD of all battle members by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Hit Charge,6,Support,0,Yes,Increases ACC of one battle member by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Agility Charge,6,Support,0,Yes,Increases EVA of one battle member by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Critical Charge,6,Support,0,Yes,Increases CRIT of one battle member by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Attack Break,6,Support,0,Yes,Reduces ATK of one enemy by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Attack Break Field,20,Support,0,Yes,Reduces ATK of all enemies by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Guard Break,6,Support,0,Yes,Reduces DEF of one enemy by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Guard Break Field,20,Support,0,Yes,Reduces DEF of all enemies by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mental Break,6,Support,0,Yes,Reduces INT of one enemy by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mental Break Field,20,Support,0,Yes,Reduces INT of all enemies by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Speed Break,6,Support,0,Yes,Reduces SPD of one enemy by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Speed Break Field,20,Support,0,Yes,Reduces SPD of all enemies by 10%.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Acceleration Boost,6,Support,0,Yes,Doubles damage output in the next turn.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Cross-Counter,6,Support,0,Yes,Counterattacks the enemy when you receive a physical attack.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mirror Reflection,6,Support,0,Yes,Counterattacks the enemy when you receive a magic attack.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Status Barrier,16,Support,0,Yes,Make one member immune to all status effects.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Safety Guard,32,Support,0,Yes,Make one member endure all attacks that could kill you once.,0.0
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Chain Plus,4,Support,0,Yes,Increase COMBO for one member by 50%.,0.0
