Number,Digimon,Stage,Type_x,Attribute,Memory,Equip Slots,Lv 50 HP,Lv50 SP,Lv50 Atk,Lv50 Def,Lv50 Int,Lv50 Spd,Move,SP Cost,Type_y,Power,Inheritable,Description
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heavy Strike I,3,Physical,70,Yes,"Physical attack, 70 Neutral damage to one foe. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heavy Strike II,6,Physical,90,Yes,"Physical attack, 90 Neutral damage to one foe. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heavy Strike III,9,Physical,110,Yes,"Physical attack, 110 Neutral damage to one foe. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Power Energy I,3,Magic,60,Yes,"Magic attack, 60 Neutral damage to one foe. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Power Energy II,6,Magic,80,Yes,"Magic attack, 80 Neutral damage to one foe. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Power Energy III,9,Magic,100,Yes,"Magic attack, 100 Neutral damage to one foe. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mach Rush I,4,Physical,35,Yes,"Physical attack, 35 Neutral damage to all foes. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mach Rush II,7,Physical,50,Yes,"Physical attack, 50 Neutral damage to all foes. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mach Rush III,10,Physical,80,Yes,"Physical attack, 80 Neutral damage to all foes. 95% accuracy."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Physical Drain,3,Physical,50,Yes,"Physical attack, 50 Neutral damage to one foe. Absorb 10% SP."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Spirit Drain,3,Magic,40,Yes,"Magic attack, 40 Neutral damage to one foe. Absorb 10% SP."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Character Reversal,10,Magic,30,Yes,"Magic attack, 30 Neutral damage to one foe. Inflicts Bug status effect."
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Heal,4,Support,0,Yes,Restores a little HP for one party member.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,X-Heal,8,Support,0,Yes,Restores HP for one party member.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Final Heal,16,Support,0,Yes,Restores a lot of HP for one party member.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Aura,10,Support,0,Yes,Restores a little HP for all party members.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,X-Aura,25,Support,0,Yes,Restores HP for all party members.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Final Aura,40,Support,0,Yes,Restores a lot of HP for all party members.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Revive,30,Support,0,Yes,Revive one fallen party member with 50% HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Perfect Revival,60,Support,0,Yes,Revive all fallen party members with full HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Poison,4,Support,0,Yes,Recover Poison from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Panic,4,Support,0,Yes,Recover Panic from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Paralysis,4,Support,0,Yes,Recover Paralyze from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Sleep,4,Support,0,Yes,Recover Sleep from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Stun,4,Support,0,Yes,Recover Stun from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Dot,4,Support,0,Yes,Recover Dot from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Anti-Bug,4,Support,0,Yes,Recover Bug from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Restore,8,Support,0,Yes,Remove all status effects from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Dispel,8,Support,0,Yes,Remove basic debuffs from one party member and restore some HP.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Attack Charge,6,Support,0,Yes,Increases ATK of one member by 10%.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Attack Charge Field,20,Support,0,Yes,Increases ATK of all battle members by 10%.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Guard Charge,6,Support,0,Yes,Increases DEF of one member by 10%.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Guard Charge Field,20,Support,0,Yes,Increases DEF of all battle members by 10%.
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,Mental Charge,6,Support,0,Yes,Increases INT of one member by 10%.
